Text,B5T,Subcategory1,Subcategory2
F2?,CLC,MISCOM,
Thank you,CLC,MISCOM,
roger that,CLC,,
"sorry, repeat, 2.0",CLC,,
thank you ,CLC,,
standby ,CLC,,
Confirm,CLC,,
Yep will do,CLC,,
Roger that,CLC,,
Thank you Sonar. ,CLC,,
Roger.,CLC,,
Thank you Sonar. ,CLC,,
Thank you Sonar. ,CLC,,
Thank you Sonar. ,CLC,,
"TMA1, Sonar, the course of S1 has zigged.",CLC,,
Roger.,CLC,,
"Thank you, Sonar.",CLC,,
Thank you Optimus.,CLC,,
"Roger. Also, I have an updated S1 solution.",CLC,,
Go ahead.,CLC,,
"Thank you, Sonar.",CLC,,
Roger.,CLC,,
Thank you.,CLC,,
"Thank you, Sonar.",CLC,,
Roger.,CLC,,
S2?,CLC,,
"Yes, please.",CLC,,
"Yep, just hold on.",CLC,,
Thank you Optimus.,CLC,,
Roger.,CLC,,
"Thank you, Optimus.",CLC,,
Roger.,CLC,,
"All positions, Optimus, update on V6, bearing 248, ATB 72 starboard and range is 5.0 kiloyards. Would you like me to cut that through?",CLC,,
Roger.,CLC,,
Yep.,CLC,,
"Thank you very much, Sonar.",CLC,,
Roger.,CLC,,
Roger.,CLC,,
"Thank you, Sonar.",CLC,,
Roger.,CLC,,
Roger,CLC,,
"Thank you, Optimus.",CLC,,
Roger.,CLC,,
Roger.,CLC,,
Roger.,CLC,,
Roger.,CLC,,
Thank you.,CLC,,
Yeah.,CLC,,
Okay. ,CLC,,
"Yeah, F2.",CLC,,
"No, no, I'll change it. Thank you.",CLC,,
"Yes, please.",CLC,,
"Okay, standby.",CLC,,
No problem. Let me know when you're back on.,CLC,,
"Thank you, Optimus.",CLC,,
Roger,CLC,,
Roger.,CLC,,
Roger,CLC,,
Captured.,CLC,,
Thank you.,CLC,,
Roger.,CLC,,
Range for F2 is 2.9 kiloyards.,CLC,,
Roger.,CLC,,
Thank you Sonar. ,CLC,,
Roger.,CLC,,
Okay,CLC,,
Okay,CLC,,
"Thank you, Sonar.",CLC,,
Roger.,CLC,,
Thank you.,CLC,,
Roger,CLC,,
Roger.,CLC,,
Roger,CLC,,
Thank you,CLC,,
Roger,CLC,,
"Thank you, Sonar.",CLC,,
Roger,CLC,,
Roger,CLC,,
"Thank you, Sonar.",CLC,,
Roger.,CLC,,
"Thank you, Sonar.",CLC,,
Roger.,CLC,,
Roger.,CLC,,
"Okay, sorry.",CLC,,
Roger,CLC,,
"Thank you, Optimus",CLC,,
Roger,CLC,,
Roger,CLC,,
Roger,CLC,,
Roger.,CLC,,
Yep.,CLC,,
Yep.,CLC,,
Roger.,CLC,,
Thank you TMA2,CLC,,
Roger,CLC,,
Image captured,CLC,,
"Thank you, Optimus",CLC,,
"Thank you, Sonar.",CLC,,
Thank you Optimus.,CLC,,
Roger.,CLC,,
Thank you.,CLC,,
Roger,CLC,,
Thank you Optimus.,CLC,,
Roger.,CLC,,
Roger.,CLC,,
Roger.,CLC,,
Just hold that thought.,CLC,,
Roger.,CLC,,
Captured.,CLC,,
Roger,CLC,,
Roger,CLC,,
Roger.,CLC,,
Thank you.,CLC,,
Yep.,CLC,,
"Stop, that's not the vessel that we were looking at",MISCOM,,
Disregard,MISCOM,,
Disregard,MISCOM,,
"V6 and who, Optimus?",MISCOM,,
For which?,MISCOM,,
Did you say S5 and F4?,MISCOM,,
"Sorry, copy, 4.2?",MISCOM,,
"Standby, TMA2",MISCOM,,
Yep.,MISCOM,,
"Apologies, make that S9.",MISCOM,,
"Trackmanager, TMA2",MISCOM,,
"Stop, that's not the vessel we were looking at",MISCOM,,
can I get an updated solution for S7,PULLED,,
"Optimus, can you please give me a range for F1?",PULLED,,
Task manager can tell me how faint the dot or zero eight is,PULLED,,
What would you like me to work on right now?,PULLED,,
What's happening to V7? I don't have any report.,PULLED,,
"TrackManager, Optimus, would you like me to update report or keep an eye? Standby",PULLED,,
"Copy, say that again, Optimus.",PULLED,,
It's 2.3 now for F4,PULLED,,
For which?,PULLED,,
"F4, it's 2.1",PULLED,,
Down all masts.,PULLED,,
Can I get an updated solution for S7?,PULLED,,
"Optimus, TMA2, can you get me a visual update on S4? Like, clAify it for me please.",PULLED,,
"Trackmanager, was it S? Which one did you want me to check?",PULLED,,
Would you like me to cut it through?,PULLED,,
Trackmanager,PULLED,,
Do you want me to cut it through?,PULLED,,
Should I capture image?,PULLED,,
"Do you have the range of F2? Because based on my solution, it's approaching 2 kiloyards.",PULLED,,
"Trackmanager, was it the range for S4 you wanted?",PULLED,,
Did you want me to cut through the range for F2?,PULLED,,
Was there just a rendezvous between V6 or were they just pAing?,PULLED,,
Can I take S9?,PULLED,,
Did we just pick up that rendezvous?,PULLED,,
Was there anything you wanted me to work on?,PULLED,,
Was that the range for F4?,PULLED,,
"I've got an updated range for S5, if you would like",PULLED,,
Do you want that cut through?,PULLED,,
Can I please get a range on S8? It seems to be moving closer,PULLED,,
"Was it the range for V, for F4 you wanted? Or was it V3?",PULLED,,
Would you like me to cut it through?,PULLED,,
Cut it through?,PULLED,,
Was there anything you wanted me to work on?,PULLED,,
S9?,PULLED,,
"Okay, it's just, it was weird, I don’t know what happened there. I had like three voices at once, I was like woah. Possible rendezvous between F2 and F1.",PUSHED,ASP,
"Just monitoring Sierra five. It is closing, and, will be relatively close, so I'll just get a range on that now.",PUSHED,,
updated solution for s 9,PUSHED,,
"Trackmanager, Sonar, I've lost the tracker for S4 but it's still in visual range ",PUSHED,,
"All positions, Sonar holds a new contact at bearing 249, initial bearing rate 3.82L, Aigned contact Sonar 1.",PUSHED,,
"All positions, Sonar holds a new contact at bearing 152, initial bearing rate 0.65R, contact S2.",PUSHED,,
"Trackmanager, Sonar, S1 is a merchant vessel.",PUSHED,,
"Trackmanager, Sonar, S2 is also a merchant vessel.",PUSHED,,
"Initial solution for S2, bearing 154, range 15.3, ATB is 7 Starboard, speed is 12 and bearing rates match.",PUSHED,,
"I have the initial solution for S1, bearing 238, range 7.3 kiloyards, ATB 043 port, speed 17.7 knots and my bearing rates match.",PUSHED,,
"Trackmanager, Sonar, can confirm that visuals are the same as clAification.",PUSHED,,
"All positions, Optimus, I have a visual contact, bearing 357, possible leisure, designated V3.",PUSHED,,
"Bearing 234, range 6.3 kiloyards, ATB 034 port, speed 17.7 knots and my bearing rates match.",PUSHED,,
"All positions, Sonar holds a new contact at bearing 307, initial bearing rate 0.73R, it's Aigned S3, S4, sorry. ",PUSHED,,
"Roger. I've got an update for S2,  bearing 156, range 12.9, ATB 11 S, speed is 12 and bearing rates match.",PUSHED,,
"All positions, Optimus, update on V3, bearing 357, ATB is 145 starboard and range is 8.7 kiloyards. ",PUSHED,,
"All positions, Sonar holds a new contact at bearing 351, initial bearing rate 0.44L, Aigned S5. ",PUSHED,,
"All positions, Optimus, I have a visual contact, bearing 249, possible leisure, designated V6.",PUSHED,,
"I have an initial solution for S5, bearing 350, range 7.7. Sorry, disregard. No, nevermind, range 7.7 kiloyards, ATB 016 Starboard, speed 3.8 knots, and my bearing rates match.",PUSHED,,
"Trackmanager, Optimus, the range for S2 is 7.6 kiloyards.",PUSHED,,
"TMA2, cutting through an updated range on S2.",PUSHED,,
"Roger, I also have an updated solution for V3, bearing 000, range 14.9 kiloyards, ATB 061 Starboard, speed 7 knots and my bearing rates match.",PUSHED,,
The range for F2 is 6.3 kiloyards,PUSHED,,
"Trackmanager, Sonar, S5 is a fishing vessel",PUSHED,,
"I have an initial report for S5, its bearing is 348, range 7.6 kiloyards, ATB 003 starboard, speed 7.7 knots and my bearings match.",PUSHED,,
"All positions, Sonar holds a new contact, bearing 092, initial bearing rate 0.44R, Aigned S7, no visual yet. ",PUSHED,,
"Update for V6, bearing 246, range 5.5, ATB 23 Starboard, speed 5 and my bearing rates match.",PUSHED,,
"The update for F2, is 5.4 kiloyards.",PUSHED,,
"I have an initial report, initial solution for S7, bearing is 093, range is 16.1, ATB 003 port, speed 10 knots and my bearings match. It might not be 100% accurate, because I don't have visuals.",PUSHED,,
